run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
adbe53a2-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,5,./cmd_set_test.sh,0,0,fixed,3.871063259,3.902127311,Success,51115.1897675201
adbe53a2-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,5,./cmd_get_test.sh,1,1,fixed,3.902331296,3.932674942,Success,126695.810433161
adbe53a2-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,5,./get_hits_test.sh,2,2,fixed,3.932869291,3.9612684,Success,61561.7075245073
b511e9de-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,5,./cmd_set_test.sh,0,0,fixed,3.982809097,4.0168996,Success,52320.2400637347
b511e9de-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,5,./cmd_get_test.sh,1,1,fixed,4.017092953,4.048375941,Success,129449.427972845
b511e9de-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,5,./get_hits_test.sh,2,2,fixed,4.048575997,4.078070233,Success,59627.5801158499
bc6472ba-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,5,./cmd_set_test.sh,0,0,fixed,4.098702055,4.127703272,Success,50104.7232949967
bc6472ba-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,5,./cmd_get_test.sh,1,1,fixed,4.12790708,4.157291391,Success,123565.607387019
bc6472ba-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,5,./get_hits_test.sh,2,2,fixed,4.157483635,4.186378884,Success,59971.8217610632
c3b67ea0-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,5,./cmd_set_test.sh,0,0,fixed,4.206394218,4.239463345,Success,49236.8458403512
c3b67ea0-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,5,./cmd_get_test.sh,1,1,fixed,4.239664737,4.26794805,Success,126454.167951222
c3b67ea0-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,5,./get_hits_test.sh,2,2,fixed,4.268148606,4.301737293,Success,59433.6725434321
cb06abb2-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,5,./cmd_set_test.sh,0,0,fixed,4.321708508,4.349585069,Success,50000.2491453847
cb06abb2-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,5,./cmd_get_test.sh,1,1,fixed,4.349782689,4.378620847,Success,128529.079268253
cb06abb2-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,5,./get_hits_test.sh,2,2,fixed,4.378809949,4.406195607,Success,57143.3378425951
d25efb4e-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,5,./cmd_set_test.sh,0,0,random,4.426619972,4.456975723,Success,46554.1874896638
d25efb4e-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,5,./get_hits_test.sh,2,1,random,4.45718369,4.487377164,Success,59737.6778078866
d25efb4e-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,5,./cmd_get_test.sh,1,2,random,4.487564184,4.518208069,Success,132965.851575329
d9b0fe7e-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,5,./get_hits_test.sh,2,0,random,4.538188791,4.56780682,Success,59295.9551751923
d9b0fe7e-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,5,./cmd_set_test.sh,0,1,random,4.568000327,4.598007818,Success,47637.1281330002
d9b0fe7e-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,5,./cmd_get_test.sh,1,2,random,4.598207292,4.627558968,Success,126794.029770676
e1022720-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,5,./get_hits_test.sh,2,0,random,4.647372571,4.677755294,Success,60301.1949258009
e1022720-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,5,./cmd_get_test.sh,1,1,random,4.677990574,4.704729807,Success,126532.001405782
e1022720-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,5,./cmd_set_test.sh,0,2,random,4.705118298,4.735252217,Success,48208.5174932799
e85b8c0a-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,5,./cmd_set_test.sh,0,0,random,4.755495881,4.786153479,Success,52326.5916189888
e85b8c0a-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,5,./cmd_get_test.sh,1,1,random,4.786352031,4.81660979,Success,127016.254141587
e85b8c0a-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,5,./get_hits_test.sh,2,2,random,4.816784499,4.847647122,Success,58561.6772981672
efb289a4-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,5,./get_hits_test.sh,2,0,random,4.867856644,4.89966183,Success,59740.5700639765
efb289a4-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,5,./cmd_set_test.sh,0,1,random,4.899854689,4.929247282,Success,50221.3125936311
efb289a4-2bac-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,5,./cmd_get_test.sh,1,2,random,4.929447003,4.958118069,Success,125148.146776712
