run_uuid,hostname,run_num,total_runs,order_type,random_seed,time_start,time_stop
b339813c-2bb9-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,5,fixed,1634083711.7474794,21451.083661156,21631.366262129
b3e4fb42-2bba-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,5,fixed,1634083711.7474794,21881.728093444,22062.087828584
b4a1c924-2bbb-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,5,fixed,1634083711.7474794,22312.446683141,22492.800298726
b55b42f4-2bbc-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,5,fixed,1634083711.7474794,22743.160902685,22923.524148265
b6158492-2bbd-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,5,fixed,1634083711.7474794,23173.885962056,23354.251899514
b6d20cec-2bbe-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,5,random,1634085865.2640653,23604.623459024,23784.98684543
b78ecafc-2bbf-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,5,random,1634085865.2640653,24035.359616671,24215.715139549
b845e240-2bc0-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,5,random,1634085865.2640653,24466.055382044,24646.41872653
b9037ee4-2bc1-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,5,random,1634085865.2640653,24896.792649643,25077.198145445
b9cd4426-2bc2-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,5,random,1634085865.2640653,25327.612987203,25507.929490763
