run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
b339813c-2bb9-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,5,./cmd_set_test.sh,0,0,fixed,3.781225677,3.835248844,Success,48314.4598516924
b339813c-2bb9-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,5,./cmd_get_test.sh,1,1,fixed,3.835448899,3.887235424,Success,133055.926656642
b339813c-2bb9-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,5,./get_hits_test.sh,2,2,fixed,3.887431801,3.940279133,Success,71621.3043020197
b3e4fb42-2bba-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,5,./cmd_set_test.sh,0,0,fixed,3.978042245,4.027934996,Success,51388.386292622
b3e4fb42-2bba-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,5,./cmd_get_test.sh,1,1,fixed,4.028139528,4.081089159,Success,134292.854851212
b3e4fb42-2bba-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,5,./get_hits_test.sh,2,2,fixed,4.081283074,4.132437978,Success,73752.2325880386
b4a1c924-2bbb-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,5,./cmd_set_test.sh,0,0,fixed,4.170693844,4.224563889,Success,50717.0684604619
b4a1c924-2bbb-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,5,./cmd_get_test.sh,1,1,fixed,4.224766193,4.280569985,Success,131317.644576112
b4a1c924-2bbb-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,5,./get_hits_test.sh,2,2,fixed,4.280768731,4.334734156,Success,68715.3088253024
b55b42f4-2bbc-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,5,./cmd_set_test.sh,0,0,fixed,4.371068084,4.424861039,Success,48941.0842898433
b55b42f4-2bbc-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,5,./cmd_get_test.sh,1,1,fixed,4.425064446,4.480215403,Success,134883.584883818
b55b42f4-2bbc-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,5,./get_hits_test.sh,2,2,fixed,4.480428048,4.534652878,Success,76317.4088997686
b6158492-2bbd-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,5,./cmd_set_test.sh,0,0,fixed,4.57133302,4.624885986,Success,49551.98905262
b6158492-2bbd-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,5,./cmd_get_test.sh,1,1,fixed,4.625090107,4.675189436,Success,129585.931334966
b6158492-2bbd-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,5,./get_hits_test.sh,2,2,fixed,4.675385292,4.730031781,Success,65704.8335722921
b6d20cec-2bbe-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,5,./get_hits_test.sh,2,0,random,4.76731911,4.820034193,Success,63938.2304811433
b6d20cec-2bbe-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,5,./cmd_get_test.sh,1,1,random,4.820237847,4.874354128,Success,127641.014216331
b6d20cec-2bbe-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,0,5,./cmd_set_test.sh,0,2,random,4.874550802,4.926609035,Success,50894.669828736
b78ecafc-2bbf-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,5,./cmd_get_test.sh,1,0,random,4.965060904,5.018067339,Success,128509.99280774
b78ecafc-2bbf-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,5,./cmd_set_test.sh,0,1,random,5.01826088,5.069606751,Success,50884.5550799701
b78ecafc-2bbf-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,1,5,./get_hits_test.sh,2,2,random,5.069799697,5.122535725,Success,81963.4162007335
b845e240-2bc0-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,5,./cmd_set_test.sh,0,0,random,5.160648949,5.214652299,Success,49251.2517048962
b845e240-2bc0-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,5,./cmd_get_test.sh,1,1,random,5.21485341,5.26949624,Success,130913.501870527
b845e240-2bc0-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,2,5,./get_hits_test.sh,2,2,random,5.269692774,5.318959154,Success,64497.395310845
b9037ee4-2bc1-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,5,./cmd_set_test.sh,0,0,random,5.355098974,5.409671773,Success,51289.3345536125
b9037ee4-2bc1-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,5,./cmd_get_test.sh,1,1,random,5.409877382,5.464812708,Success,131195.506340554
b9037ee4-2bc1-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,3,5,./get_hits_test.sh,2,2,random,5.465008821,5.518558453,Success,67425.2204255259
b9cd4426-2bc2-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,5,./cmd_set_test.sh,0,0,random,5.556550867,5.609316993,Success,50304.7339690828
b9cd4426-2bc2-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,5,./get_hits_test.sh,2,1,random,5.609516671,5.658668816,Success,70688.0969307577
b9cd4426-2bc2-11ec-969c-d34c156086f0,hp133.utah.cloudlab.us,4,5,./cmd_get_test.sh,1,2,random,5.658871207,5.710769199,Success,131615.897626855
